,exists,name,pp,flags,num,accuracy,basePower,category,priority,drain,secondary,target,type,contestType,desc,shortDesc,id,fullname,effectType,gen,isNonstandard,noCopy,affectsFainted,sourceEffect,critRatio,baseMoveType,secondaries,hasSheerForce,ignoreNegativeOffensive,ignorePositiveDefensive,ignoreOffensive,ignoreDefensive,ignoreImmunity,noPPBoosts,isZ,isMax,pressureTarget,nonGhostTarget,ignoreAbility,spreadHit,forceSTAB,noSketch,maxMove,zMove,kind,condition,volatileStatus,boosts,slotCondition,status,hasCrashDamage,selfdestruct,self,heal,sleepUsable,recoil,struggleRecoil,multihit,stallingMove,breaksProtect,pseudoWeather,sideCondition,noMetronome,forceSwitch,willCrit,realMove,ignoreEvasion,thawsTarget,terrain,selfSwitch,ohko,selfBoost,damage,onTry,weather,mindBlownRecoil,overrideDefensiveStat,stealsBoosts,multiaccuracy,overrideOffensiveStat,smartTarget,onDamagePriority,overrideOffensivePokemon,tracksTarget
10,True,Counter,20,"{'contact': 1, 'protect': 1, 'failmefirst': 1, 'noassist': 1, 'failcopycat': 1}",68,100,0,Physical,-5,,,scripted,Fighting,Tough,"Deals damage to the last opposing Pokemon to hit the user with a physical attack this turn equal to twice the HP lost by the user from that attack. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. This move considers Hidden Power as Normal type, and only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's physical attack this turn, or if the user did not lose HP from the attack.","If hit by physical attack, returns double damage.",counter,move: Counter,Move,1,,False,False,,1,Fighting,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 75},{'basePower': 100},Move,"{'duration': 1, 'noCopy': True, 'onRedirectTargetPriority': -1, 'onDamagePriority': -101}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,True,Covet,40,"{'protect': 1, 'mirror': 1, 'noassist': 1}",343,100,40,Physical,0,,,normal,Normal,Cute,"If this attack was successful and the user has not fainted, it steals the target's held item if the user is not holding one. The target's item is not stolen if it is a Mail or Enigma Berry. Items lost to this move cannot be regained with Recycle.","If the user has no item, it steals the target's.",covet,move: Covet,Move,3,,False,False,,1,Normal,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 90},{'basePower': 100},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,True,Crunch,15,"{'bite': 1, 'contact': 1, 'protect': 1, 'mirror': 1}",242,100,80,Special,0,,"{'chance': 20, 'boosts': {'spd': -1}}",normal,Dark,Tough,Has a 20% chance to lower the target's Special Defense by 1 stage.,20% chance to lower the target's Sp. Def by 1.,crunch,move: Crunch,Move,2,,False,False,,1,Dark,"[{'chance': 20, 'boosts': {'spd': -1}}]",False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 130},{'basePower': 160},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,True,Dig,10,"{'contact': 1, 'charge': 1, 'protect': 1, 'mirror': 1, 'nonsky': 1, 'nosleeptalk': 1}",91,100,60,Physical,0,,,normal,Ground,Tough,"This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Earthquake and Magnitude, which have doubled power when used against it, and is also unaffected by weather.","Digs underground turn 1, strikes turn 2.",dig,move: Dig,Move,1,,False,False,,1,Ground,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 110},{'basePower': 120},Move,{'duration': 2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,True,Disable,20,"{'protect': 1, 'mirror': 1, 'bypasssub': 1}",50,55,0,Status,0,,,normal,Normal,Clever,"For 2 to 5 turns, the target's last move used becomes disabled. Fails if one of the target's moves is already disabled, if the target has not made a move, if the target no longer knows the move, or if the move has 0 PP.","For 2-5 turns, disables the target's last move.",disable,move: Disable,Move,1,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'effect': 'clearnegativeboost'},Move,{'noCopy': True},disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,True,Dive,10,"{'contact': 1, 'charge': 1, 'protect': 1, 'mirror': 1, 'nonsky': 1, 'nosleeptalk': 1}",291,100,60,Special,0,,,normal,Water,Beautiful,"This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Surf and Whirlpool, which have doubled power when used against it, and is also unaffected by weather.","Dives underwater turn 1, strikes turn 2.",dive,move: Dive,Move,3,,False,False,,1,Water,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 110},{'basePower': 120},Move,{'duration': 2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,True,Doom Desire,5,{'futuremove': 1},353,85,120,Physical,0,,,normal,Steel,Beautiful,"Deals typeless damage that cannot be a critical hit two turns after this move is used. Damage is calculated against the target on use, and at the end of the final turn that damage is dealt to the Pokemon at the position the original target had at the time. Fails if this move or Future Sight is already in effect for the target's position.",Hits two turns after being used.,doomdesire,move: Doom Desire,Move,3,,False,False,,1,Steel,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 140},{'basePower': 190},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,True,Encore,5,"{'protect': 1, 'mirror': 1, 'bypasssub': 1, 'failencore': 1}",227,100,0,Status,0,,,normal,Normal,Cute,"For 3 to 6 turns, the target is forced to repeat its last move used. If the affected move runs out of PP, the effect ends. Fails if the target is already under this effect, if it has not made a move, if the move has 0 PP, or if the move is Encore, Mimic, Mirror Move, Sketch, Struggle, or Transform.",The target repeats its last move for 3-6 turns.,encore,move: Encore,Move,2,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'boost': {'spe': 1}},Move,"{'onResidualOrder': 10, 'onResidualSubOrder': 14}",encore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,True,Extrasensory,30,"{'protect': 1, 'mirror': 1}",326,100,80,Special,0,,"{'chance': 10, 'volatileStatus': 'flinch'}",normal,Psychic,Cool,Has a 10% chance to make the target flinch. Damage doubles if the target has used Minimize while active.,10% chance to make the target flinch.,extrasensory,move: Extrasensory,Move,3,,False,False,,1,Psychic,"[{'chance': 10, 'volatileStatus': 'flinch'}]",False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 130},{'basePower': 160},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,True,Fake Out,10,"{'protect': 1, 'mirror': 1}",252,100,40,Physical,1,,"{'chance': 100, 'volatileStatus': 'flinch'}",normal,Normal,Cute,Has a 100% chance to make the target flinch. Fails unless it is the user's first turn on the field.,Hits first. First turn out only. 100% flinch chance.,fakeout,move: Fake Out,Move,3,,False,False,,1,Normal,"[{'chance': 100, 'volatileStatus': 'flinch'}]",False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 90},{'basePower': 100},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,True,Feint Attack,20,"{'protect': 1, 'mirror': 1}",185,True,60,Special,0,,,normal,Dark,Clever,This move does not check accuracy.,This move does not check accuracy.,feintattack,move: Feint Attack,Move,2,,False,False,,1,Dark,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 110},{'basePower': 120},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,True,Flash,20,"{'protect': 1, 'reflectable': 1, 'mirror': 1}",148,70,0,Status,0,,,normal,Normal,Beautiful,Lowers the target's accuracy by 1 stage.,Lowers the target's accuracy by 1.,flash,move: Flash,Move,1,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'boost': {'evasion': 1}},Move,,,{'accuracy': -1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,True,Fly,15,"{'contact': 1, 'charge': 1, 'protect': 1, 'mirror': 1, 'gravity': 1, 'distance': 1}",19,95,70,Physical,0,,,any,Flying,Clever,"This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Gust, Sky Uppercut, Thunder, and Twister, and Gust and Twister have doubled power when used against it.","Flies up on first turn, then strikes the next turn.",fly,move: Fly,Move,1,,False,False,,1,Flying,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 120},{'basePower': 140},Move,{'duration': 2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,True,Follow Me,20,"{'noassist': 1, 'failcopycat': 1}",266,True,0,Status,3,,,self,Normal,Cute,"Until the end of the turn, all single-target attacks from the opposing side are redirected to the user. Such attacks are redirected to the user before they can be reflected by Magic Coat, or drawn in by the Lightning Rod Ability. This effect remains active even if the user leaves the field. Fails if it is not a Double Battle.",The foes' moves target the user on the turn used.,followme,move: Follow Me,Move,3,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'effect': 'clearnegativeboost'},Move,"{'duration': 1, 'onFoeRedirectTargetPriority': 1}",,,followme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,True,Foresight,40,"{'protect': 1, 'mirror': 1, 'bypasssub': 1}",193,100,0,Status,0,,,normal,Normal,Clever,"As long as the target remains active, its evasiveness stat stage is ignored during accuracy checks against it, and Normal- and Fighting-type attacks can hit the target if it is a Ghost type.","Fighting, Normal hit Ghost. Evasiveness ignored.",foresight,move: Foresight,Move,2,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'effect': 'crit2'},Move,{'noCopy': True},foresight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,True,Fury Cutter,20,"{'contact': 1, 'protect': 1, 'mirror': 1, 'slicing': 1}",210,95,10,Physical,0,,,normal,Bug,Cool,"Power doubles with each successful hit, up to a maximum of 160 power. The power is reset if this move misses or another move is used.","Power doubles with each hit, up to 160.",furycutter,move: Fury Cutter,Move,2,,False,False,,1,Bug,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 90},{'basePower': 100},Move,{'duration': 2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,True,Giga Drain,5,"{'protect': 1, 'mirror': 1}",202,100,60,Special,0,"[1, 2]",,normal,Grass,Clever,"The user recovers 1/2 the HP lost by the target, rounded down.",User recovers 50% of the damage dealt.,gigadrain,move: Giga Drain,Move,2,,False,False,,1,Grass,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 110},{'basePower': 120},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,True,Glare,30,"{'protect': 1, 'reflectable': 1, 'mirror': 1}",137,75,0,Status,0,,,normal,Normal,Tough,Paralyzes the target. This move does not ignore type immunity.,Paralyzes the target.,glare,move: Glare,Move,1,,False,False,,1,Normal,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,,{'boost': {'spd': 1}},Move,,,,,par,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,True,Hidden Power,15,"{'protect': 1, 'mirror': 1}",237,100,0,Physical,0,,,normal,Normal,Clever,"This move's type and power depend on the user's individual values (IVs). Power varies between 30 and 70, and type can be any but Normal.",Varies in power and type based on the user's IVs.,hiddenpower,move: Hidden Power,Move,2,,False,False,,1,Normal,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 100},{'basePower': 100},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,True,High Jump Kick,20,"{'contact': 1, 'protect': 1, 'mirror': 1, 'gravity': 1}",136,90,85,Physical,0,,,normal,Fighting,Cool,"If this attack is not successful and the target was not immune, the user loses HP equal to half of the damage the target would have taken, rounded down, but no less than 1 HP and no more than half of the target's maximum HP, as crash damage.","If miss, user takes 1/2 damage it would've dealt.",highjumpkick,move: High Jump Kick,Move,1,,False,False,,1,Fighting,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 90},{'basePower': 160},Move,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,True,Hypnosis,20,"{'protect': 1, 'reflectable': 1, 'mirror': 1}",95,60,0,Status,0,,,normal,Psychic,Clever,Causes the target to fall asleep.,Causes the target to fall asleep.,hypnosis,move: Hypnosis,Move,1,,False,False,,1,Psychic,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'boost': {'spe': 1}},Move,,,,,slp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,True,Jump Kick,25,"{'contact': 1, 'protect': 1, 'mirror': 1, 'gravity': 1}",26,95,70,Physical,0,,,normal,Fighting,Cool,"If this attack is not successful and the target was not immune, the user loses HP equal to half of the damage the target would have taken, rounded down, but no less than 1 HP and no more than half of the target's maximum HP, as crash damage.","If miss, user takes 1/2 damage it would've dealt.",jumpkick,move: Jump Kick,Move,1,,False,False,,1,Fighting,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 85},{'basePower': 140},Move,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,True,Leaf Blade,15,"{'contact': 1, 'protect': 1, 'mirror': 1, 'slicing': 1}",348,100,70,Special,0,,,normal,Grass,Cool,Has a higher chance for a critical hit.,High critical hit ratio.,leafblade,move: Leaf Blade,Move,3,,False,False,,2,Grass,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 120},{'basePower': 140},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,True,Lock-On,5,"{'protect': 1, 'mirror': 1}",199,100,0,Status,0,,,normal,Normal,Clever,"Until the end of the next turn, the target cannot avoid the user's moves, even if the target is in the middle of a two-turn move. When this effect is started against the target, this and Mind Reader's effects end for every other Pokemon against that target. If the target leaves the field using Baton Pass, the replacement remains under this effect. If the user leaves the field using Baton Pass, this effect is restarted against the same target for the replacement. The effect ends if either the user or the target leaves the field.",User's next move will not miss the target.,lockon,move: Lock-On,Move,2,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'boost': {'spe': 1}},Move,"{'duration': 2, 'onSourceInvulnerabilityPriority': 1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,True,Mega Drain,10,"{'protect': 1, 'mirror': 1}",72,100,40,Special,0,"[1, 2]",,normal,Grass,Clever,"The user recovers 1/2 the HP lost by the target, rounded down.",User recovers 50% of the damage dealt.,megadrain,move: Mega Drain,Move,1,,False,False,,1,Grass,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 90},{'basePower': 120},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,True,Memento,10,"{'protect': 1, 'mirror': 1}",262,True,0,Status,0,,,normal,Dark,Tough,"Lowers the target's Attack and Special Attack by 2 stages. The user faints. This move does not check accuracy, and can hit targets in the middle of a two-turn move. Fails entirely if the target's Attack and Special Attack stat stages are both -6.","Lowers target's Attack, Sp. Atk by 2. User faints.",memento,move: Memento,Move,3,,False,False,,1,Dark,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'effect': 'healreplacement'},Move,,,"{'atk': -2, 'spa': -2}",,,,ifHit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,True,Mind Reader,5,"{'protect': 1, 'mirror': 1}",170,100,0,Status,0,,,normal,Normal,Clever,"Until the end of the next turn, the target cannot avoid the user's moves, even if the target is in the middle of a two-turn move. When this effect is started against the target, this and Lock-On's effects end for every other Pokemon against that target. If the target leaves the field using Baton Pass, the replacement remains under this effect. If the user leaves the field using Baton Pass, this effect is restarted against the same target for the replacement. The effect ends if either the user or the target leaves the field.",User's next move will not miss the target.,mindreader,move: Mind Reader,Move,2,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'boost': {'spa': 1}},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,True,Mimic,10,"{'protect': 1, 'bypasssub': 1, 'allyanim': 1, 'failencore': 1, 'noassist': 1, 'failmimic': 1}",102,True,0,Status,0,,,normal,Normal,Cute,"While the user remains active, this move is replaced by the last move used by the target. The copied move has 5 PP. Fails if the target has not made a move, if the user has Transformed, if the user already knows the move, or if the move is Metronome, Mimic, Sketch, or Struggle.",The last move the target used replaces this one.,mimic,move: Mimic,Move,1,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'boost': {'accuracy': 1}},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,True,Mirror Coat,20,"{'protect': 1, 'failmefirst': 1, 'noassist': 1, 'failcopycat': 1}",243,100,0,Special,-5,,,scripted,Psychic,Beautiful,"Deals damage to the last opposing Pokemon to hit the user with a special attack this turn equal to twice the HP lost by the user from that attack. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. This move considers Hidden Power as Normal type, and only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's special attack this turn, or if the user did not lose HP from the attack.","If hit by special attack, returns double damage.",mirrorcoat,move: Mirror Coat,Move,2,,False,False,,1,Psychic,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 100},{'basePower': 100},Move,"{'duration': 1, 'noCopy': True, 'onRedirectTargetPriority': -1, 'onDamagePriority': -101}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,True,Mirror Move,20,"{'failencore': 1, 'nosleeptalk': 1, 'noassist': 1, 'failcopycat': 1, 'failinstruct': 1}",119,True,0,Status,0,,,self,Flying,Clever,"The user uses the last move that successfully targeted the user. The copied move is used with no specific target. Fails if no move has targeted the user, if the move missed, failed, or had no effect on the user, or if the move cannot be copied by this move.",User uses the target's last used move against it.,mirrormove,move: Mirror Move,Move,1,,False,False,,1,Flying,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'boost': {'atk': 2}},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,True,Nature Power,20,{},267,95,0,Status,0,,,self,Normal,Beautiful,This move calls another move for use depending on the battle terrain. Swift in Wi-Fi battles.,Attack changes based on terrain. (Swift),naturepower,move: Nature Power,Move,3,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,,Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,True,Needle Arm,15,"{'contact': 1, 'protect': 1, 'mirror': 1}",302,100,60,Special,0,,"{'chance': 30, 'volatileStatus': 'flinch'}",normal,Grass,Clever,Has a 30% chance to make the target flinch. Damage doubles if the target has used Minimize while active.,30% chance to make the target flinch.,needlearm,move: Needle Arm,Move,3,,False,False,,1,Grass,"[{'chance': 30, 'volatileStatus': 'flinch'}]",False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 110},{'basePower': 120},Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,True,Nightmare,15,"{'protect': 1, 'mirror': 1}",171,True,0,Status,0,,,normal,Ghost,Clever,"Causes the target to lose 1/4 of its maximum HP, rounded down, at the end of each turn as long as it is asleep. This move does not affect the target unless it is asleep. The effect ends when the target wakes up, even if it falls asleep again in the same turn.",A sleeping target is hurt by 1/4 max HP per turn.,nightmare,move: Nightmare,Move,2,,False,False,,1,Ghost,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'boost': {'spa': 1}},Move,"{'noCopy': True, 'onResidualOrder': 10, 'onResidualSubOrder': 7}",nightmare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,True,Odor Sleuth,40,"{'protect': 1, 'mirror': 1, 'bypasssub': 1}",316,100,0,Status,0,,,normal,Normal,Clever,"As long as the target remains active, its evasiveness stat stage is ignored during accuracy checks against it, and Normal- and Fighting-type attacks can hit the target if it is a Ghost type.","Fighting, Normal hit Ghost. Evasiveness ignored.",odorsleuth,move: Odor Sleuth,Move,3,,False,False,,1,Normal,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,,{'boost': {'atk': 1}},Move,,foresight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,True,Outrage,15,"{'contact': 1, 'protect': 1, 'mirror': 1, 'failinstruct': 1}",200,100,90,Special,0,,,randomNormal,Dragon,Cool,"The user spends two or three turns locked into this move and becomes confused at the end of the last turn of the effect if it is not already. This move targets an opposing Pokemon at random on each turn. If the user is prevented from moving, falls asleep, becomes frozen, or the attack is not successful against the target, the effect ends without causing confusion. If this move is called by Sleep Talk, the move is used for one turn and does not confuse the user.",Lasts 2-3 turns. Confuses the user afterwards.,outrage,move: Outrage,Move,2,,False,False,,1,Dragon,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,{'basePower': 130},{'basePower': 175},Move,,,,,,,,{'volatileStatus': 'lockedmove'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
